脑室外引流术	External Ventricular Drain
脑室外引流（EVD）是神经外科住院医师要掌握的最基本的技术之一，然而如果操作不遵守原则，即使是经验丰富的临床医生也会面临困难。	The external ventricular drain (EVD) is one of the most basic and essential procedures that the junior resident must master but even the most experienced can face difficulties if the technical principles are not respected.
对于罹患致死性脑积水以及脑室内出血的患者，EVD是一项可以挽救生命的措施。	This technique is lifesaving for patients suffering from life-threatening hydrocephalus and intraventricular hemorrhage.
其他脑实质内监测压力的装置只能用于监测颅内压（ICP），而EVD兼具诊断与治疗的作用。	Whereas other intraparenchymal pressure monitoring devices are limited to measuring the intracranial pressure (ICP), the EVD is both diagnostic and therapeutic.
EVD在引流脑脊液CSF的同时可以减轻因CSF产生过多或吸收不足所导致的颅内压过高。	The EVD drains cerebrospinal fluid (CSF) and relieves intracranial hypertension related to disorders of CSF overproduction and underabsorption.
然而，与置于脑实质内的颅内压监测装置相比，EVD创伤性更大，发生颅内出血与感染（脑室炎）的风险也更大。	However, compared to intraparenchymal pressure monitoring devices, the EVD is more invasive and associated with a higher risk of intracranial hemorrhage and infection (ventriculitis).
EVD引流管的放置是根据外部解剖标志进行的“盲法操作”。	Insertion of the EVD is a “blind procedure” based on approximate external anatomic landmarks.
由于脑室的解剖常因某些潜在疾病而改变，导管的放置路径则需要根据CT扫描显示的变化进行调整。	Frequently, the ventricular anatomy is distorted by the mass effect of the underlying pathology, so the catheter trajectory must be adjusted based on the ventricular distortion seen on a computed tomography (CT) scan.
如果脑室体积较小，没有立体定向技术的帮助，穿刺常常较为困难。	Small ventricles can be challenging to cannulate without stereotaxy.
经非优势半球额叶（右额叶）置入EVD是常规首选方案，但在特定情况下，也会选择将导管放置在左侧。	Right frontal entry through the nondominant frontal lobe is preferred unless there is a compelling reason to place the catheter on the left side.
比如，如果左额叶存在损伤或疾病，仅剩右额叶完整，EVD的导管则必须放置在左侧。	If the right lobe is the only intact frontal lobe because of left frontal lobe pathology or injury, the EVD should be placed on the left side.
例如，右额角出血铸型选择右侧放置导管则会在短时间内造成导管堵塞，这种情况下只能选择左侧脑室造瘘术。	For example, a “blood-casted” right frontal horn may force you to create a left frontal ventriculostomy because the intraventricular hemorrhage will lead to immediate clogging of the right EVD catheter.
另外，孤立性左侧侧脑室也是选择左侧放置导管的原因之一。	The presence of a trapped left lateral ventricle is another reason to use a left-sided catheter.
对于遭受较大损伤或GCS小于8分的患者，由于ICP为生理性升高，并无脑积水产生，也不需要引流脑脊液，因此这类患者更适合放置脑内ICP监测装置。	Patients suffering from traumatic mass lesions and low Glasgow coma scores (8) are candidates for intraparenchymal ICP monitoring rather than EVD implantation since most of these patients have physiologic ICP pressures, do not develop hydrocephalus, and therefore do not require CSF drainage.
然而，存在一小部分患者会发展成难治性颅内压升高，这时则需要利用EVD引流脑脊液。	However, a minority of them will suffer from or later develop medically intractable raised ICP, which can be treated with CSF drainage through an EVD.
手术解剖	Operative Anatomy
手术过程的关键标志是：中线，鼻根，同侧耳屏，同侧瞳孔以及内眦。	The key landmarks for this procedure are the midline, nasion, ipsilateral tragus, ipsilateral pupil, and medial canthus.
在清楚的情况下冠状缝也是一个很有帮助的标志。	If reliably palpable, the coronal suture can also be very helpful.
引流的穿刺点称为Kocher点，位于鼻根后方10-11cm，中线旁3cm。	The entry point for the drain is called the Kocher’s point, and it is located 10-11cm posterior from the nasion and 3cm lateral from the midline.
该穿刺点位于冠状缝前1cm（沿中瞳线）。	This point is 1cm anterior to the coronal suture along the midpupillary line.
图1左上图标示了大脑表面的冠状缝与矢状缝。	Figure 1: The coronal and sagittal sutures are shown in relation to the cerebral surface anatomy (top, left).
右上图显示了 Monro孔的位置。	The foramen of Monro is shown in relation to the cerebral surface anatomy (top, right).
下图显示冠状切片上Monro孔的位置。	A coronal section shows the foramen of Monro (bottom).
导管尖端朝向内眦，靠近Monro孔，这一点也被认为是颅内空间的零点，	The catheter tip is angled toward the medial canthus to end at this foramen which is considered the ‘zero point’ of the intracranial compartment.
颅内压的测定与此相关。（图片由AL Rhoton, Jr授权)	The intracranial pressure is measured relative to this point (Images courtesy of AL Rhoton, Jr)
导管的路径朝向一个点：矢状面上耳屏前1cm，冠状面上指向内眦。	The trajectory of the catheter is toward a point ~ 1cm anterior to the tragus on the sagittal plane and toward the medial canthus on the coronal plane.
一般来说，引流管应当垂直进入颅骨到达Monro孔。	As a rule of thumb, the drain should enter perpendicular to the skull to reach the foramen of Monro.
但运用这些解剖标志的前提是Monro孔位于标准的中线位置，未被潜在的病灶所推移。	These landmarks require that the foramen is located in the standard midline position and not distorted by the underlying pathology.
病人体位	Patient Position
病人取仰卧位，床头抬高约30-45°。	The patient is placed in the supine position with the head of the bed elevated approximately 30-45 degrees.
患者头应摆放在正中的解剖位置，因为轻微的头部旋转也会导致术者标记的定位错误。	The patient’s head is placed in a neutral anatomic position because any head rotation will lead to significant disorientation of the surgeon’s landmarks.
由于操作常在昏睡或麻醉的患者中进行，助手需要扶住患者头部，尽量减小钻孔（开颅）时头部的摆动。	Since this procedure is most often performed on a lethargic or sedated patient, the head should be held in place by an assistant to minimize movement during burr hole placement (craniostomy).
流程	Procedure
夹住头发暴露出Kocher点后，通过鼻梁清楚地勾勒出中线后双次核对。	After clipping the hair to expose Kocher’s point, the midline is clearly delineated based on the bridge of the nose and double-checked.
标记出Kocher点并过该点画出1-2cm的切口。	Kocher’s point is marked and a 1-2cm linear incision is drawn through this point.
图2 内侧蓝点是标准的Kocher点。	Figure 2:  The standard Kocher’s point is identified (medial blue dot).
为了避开矢状窦静脉，笔者通常会在Kocher点的标准位置外1cm进行钻孔（外侧蓝点）。	I usually place the burrhole about 1cm lateral to the standard location of Kocher’s point to further avoid the parasagittal veins (lateral blue dot).
图3 显示Kocher点与冠状缝与中线的关系。	Figure 3: Kocher’s point is shown in relation to the coronal suture and midline.
导管尖应当指向Mnoro孔，假设的颅内空间的“零点”。	The tip of the catheter should be aimed at the foramen of Monro, the hypothetical ‘zero point’ of the intracranial space.
上图显示了导管放置的重要原则，即垂直进入颅骨。	The top inset shows the catheter entering perpendicular to the skull, an important principle in placement of the catheter.
下图显示了Kocher点在冠状缝前1cm，矢状缝外侧3cm。	The bottom inset illustrates Kocher’s point located 1cm anterior to the coronal suture and 3cm lateral to the sagittal suture.
在切口周缘以及操作后期导管在帽状腱膜下的隧道周边对头皮进行局部浸润麻醉。	A local anesthetic is infiltrated into the scalp, not only along the incision, but also along the planned path of the trocar for subgaleal tunneling of the drain catheter later in the procedure.
切开切口并放置好小型自动牵引器后，分离颅盖骨的骨膜。	Once the incision is made and the small self-retaining retractor placed, the periosteum is dissected away from the calvarium.
图4  钻头必须垂直进入颅骨，并与EVD导管路径相同（上图）。	Figure 4: The drill must enter the skull at a perpendicular angle and with the same trajectory as the EVD catheter (top image).
因为钻头的直径较小，颅骨又相对较厚，这个操作细节很有必要并且会决定导管进入大脑的角度与轨迹。	This maneuver is essential since the drill’s small diameter bit, together with the thickness of the skull, will determine the allowable angles or trajectories through which the catheter can enter the brain.
由于开颅的不充分导致的轻微偏移也会造成导管尖端最终轨迹的严重移位（下图）。	Any slight deflection of the catheter because of an inadequate craniostomy leads to serious alterations in the final trajectory of the catheter tip (lower image).
由于这些偏移发生在导管进入大脑之后，术者将无法发现。	Since this deflection occurs after the catheter has entered the brain, the operator will not be cognizant of it.
开颅不充分的定义是：钻孔过小以及颅盖骨内板边缘不规则，导致EVD柔软的导管尖端偏移。	An inadequate craniostomy is defined as a small burr hole with irregular edges at the inner table of the calvarium, leading to deflection of the flexible EVD catheter tip.
因此：	Therefore:
应当使用较大直径的钻头	a drill bit with a larger diameter should be used, and
钻头应当以颅骨的厚度多次进行回抽与前插，保证开颅的内缘充分磨开并且无骨性突起出现造成导管偏移。	the bit should be retracted and advanced multiple times along the thickness of the skull to ensure that the inner edges of the craniostomy are adequately drilled and no bony ledge is present to deflect the catheter.
图5 如果钻头还未穿过硬脑膜，可以用钝针切开硬脑膜。	Figure 5: If the drill has not penetrated the dura, a blunt needle can be used to perform the durotomy.
然后，引流管与探针按照原定的轨迹前进（如上述），深度距头皮约6-6.5cm。	The drain is then passed in the planned trajectory (described above) with its stylet to a depth of 6 to 6.5cm as measured from the level of the scalp.
如果导管前进超过7cm才获得脑脊液，术者应当提高警觉，此时有可能穿刺角度错误或导管尖端进入颞角，大脑纵裂，第三脑室，外侧裂甚至基底池。	Any further advancement of the catheter beyond 7cm in order to obtain CSF should alarm the operator about the erroneous angle or location of the catheter tip into the temporal horn, interhemispheric fissure, third ventricles, Sylvian fissure, and even basal cisterns.
这种情况下，需要移动导管位置，向中间与后方稍微倾斜角度。	Under these circumstances, the catheter should be removed, and often it needs to be angled slightly more medially and posteriorly.
图6 从术者的视野透过大脑观察脑室。	Figure 6: View of the ventricles through the brain from the operator’s perspective.
冠状位上引流管的路径朝向内眦，点在矢状面上耳屏前1cm。	The trajectory of the drain is toward the medial canthus on the coronal plane and a point ~1 cm anterior to the tragus on the sagittal plane.
导管尖端靠近Monro孔。	The tip of the catheter should lie near the foramen of Monro.
导管尖端穿过室管膜后会有“噗”一下的感觉，然后确认到CSF流出。	A ‘pop’ can often be felt as the tip penetrates the ependyma; CSF flow is then confirmed.
移除探针，引流管在脑室内继续前进1cm，使导管尖端到达Monro孔。	The stylet should be removed and the catheter advanced for another 1cm within the ventricle so the tip is at the foramen of Monro.
引流管远端在皮肤下穿行并固定，	The distal part of the drain is tunneled under the skin and secured.
关闭小切口时必须注意不要将引流管缝住。	Care must be taken not to sew in the drain when closing this small incision.
图7 在帽状腱膜下小心地穿行引流管可以降低感染风险。	Figure 7: The drain is carefully tunneled under the galea to decrease the risk of infection.
用无齿镊固定引流管，可以将拔出导管或无意中把导管推向脑室深部的风险降至最低（上面的插图与下面的照片）。	A non-toothed forceps instrument is used to hold the drain in place while this is done to minimize the risk of dislodging the catheter or inadvertently pushing it deeper into the ventricle (top inset and bottom photo).
图8 将引流管多点固定在皮肤上可以减少脱出的风险。	Figure 8: The drain is secured to the skin at multiple points to reduce the risk of pullout.
笔者通常用皮肤钉将导管固定在皮肤上。	I use skin staples to secure the catheter to the skin.
有时，CSF并未从导管插入处流出，这是因为脑室内CSF压力过低，并非导管位置不佳。	Occasionally, the lack of CSF return from the catheter upon its insertion is due to low intraventricular CSF pressure, and not an undesirable catheter tip location.
术者不能贸然移开和重新插入导管，	The operator should not prematurely remove and reinsert the catheter.
而应该用1个10cc的注射器从导管缓慢地回抽脑脊液。	Instead, a 10cc syringe should be used to gently withdraw fluid from the catheter.
这一方式也证实EVD导管的位置摆放正确。	This maneuver often confirms the appropriate location of the EVD drain.
如果引流管连续3次未插入脑室，应当停止操作并由更有经验的同事执行或在立体定向引导下进行操作。	If three consecutive passes of the catheter do not cannulate the ventricle, the procedure should be aborted and performed by a more experienced colleague or under stereotactic guidance.
在3次连续尝试之后颅内出血的风险明显增加。	The risk of intracranial hemorrhage increases significantly after three consecutive attempts.
EVD错位	EVD Malpositioning
下面是一个由于开颅口过小导致EVD导管位置错误的例子。	Here is an example of an EVD that has been routed inaccurately most likely due to a small craniostomy.
图9 这个EVD导管可能只是因为小孔的内边缘导致轻微偏移（左上冠状位CT）。	Figure 9: This EVD catheter may have been only slightly deflected by the inner edge of the small burrhole (left upper coronal CT scan).
导管刚刚好偏出侧脑室（右上图）。	The catheter barely missed the lateral ventricle (right upper image).
由于未进入导管，术者将导管插入大于允许的深度，导管尖端位置过深（下列）。	Since the ventricle was not cannulated, the operator advanced the catheter beyond the allowed length, placing the tip of the catheter too deep (lower row).
术后注意事项	Postoperative Considerations
如果笔者多次穿刺或怀疑导管位置错误，术后会立即要求行CT扫描以确定EVD引流管位置摆放正确以及无血肿形成。	If I make multiple passages or suspect catheter malpositioning, I request a CT scan immediately after the procedure to confirm correct placement of the EVD and absence of a hematoma.
对于破裂动脉瘤的患者必须特别小心。	Special consideration must be given for patients with ruptured aneurysms.
如果将EVD压力限定在0或5cm水柱，很可能造成动脉瘤囊壁跨壁压力的迅速变化导致动脉瘤二次破裂。	Opening the EVD to drain at 0 or 5cm H2O may potentially cause an aneurysmal rerupture due to rapid changes in transmural pressure across the wall of the aneurysm sac.
不稳定的破裂动脉瘤引流压力必须不低于10cmH2O。	Unsecured ruptured aneurysms must be drained at no lower than 10cm H2O.
后颅窝存在巨大病灶可以引起显著占位效应或甚至引发小脑幕裂孔疝，这些病人可能由于梗阻性脑积水而需要做脑脊液引流。	Patients with huge posterior fossa masses causing significant mass effect and potential cerebellar transtentorial herniation may require CSF drainage due to obstructive hydrocephalus.
